Logger, Chessanchez:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.5
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
Session, Chessanchez:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, Chessanchez:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
PingLoop, Chessanchez:       	Ping DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
WriteLoop, Chessanchez:      	Skipping users.getUsers pending due to unimported auth in connection in DC 2.0
WriteLoop, Chessanchez:      	NO MESSAGE SENT in write loop in DC 2.0, pending users.getUsers pending
